E186  (10.27%)
 1.00000     0.00000
 0.99696    -0.00019
 0.99161    -0.00046
 0.98552    -0.00068
 0.97898    -0.00083
 0.97214    -0.00090
 0.96513    -0.00090
 0.95800    -0.00081
 0.95079    -0.00065
 0.94354    -0.00043
 0.93626    -0.00016
 0.92894     0.00017
 0.92159     0.00054
 0.91421     0.00096
 0.90682     0.00142
 0.89941     0.00191
 0.89199     0.00243
 0.88457     0.00299
 0.87714     0.00357
 0.86970     0.00418
 0.86226     0.00482
 0.85481     0.00548
 0.84735     0.00616
 0.83989     0.00687
 0.83243     0.00760
 0.82496     0.00834
 0.81749     0.00911
 0.81002     0.00989
 0.80255     0.01069
 0.79507     0.01151
 0.78759     0.01234
 0.78011     0.01319
 0.77263     0.01406
 0.76514     0.01493
 0.75766     0.01583
 0.75017     0.01673
 0.74268     0.01765
 0.73519     0.01857
 0.72770     0.01951
 0.72021     0.02046
 0.71272     0.02142
 0.70522     0.02239
 0.69772     0.02337
 0.69022     0.02436
 0.68272     0.02536
 0.67522     0.02636
 0.66771     0.02737
 0.66020     0.02839
 0.65269     0.02941
 0.64518     0.03044
 0.63766     0.03148
 0.63014     0.03252
 0.62261     0.03356
 0.61509     0.03460
 0.60756     0.03565
 0.60003     0.03670
 0.59250     0.03775
 0.58497     0.03880
 0.57744     0.03985
 0.56992     0.04090
 0.56240     0.04194
 0.55488     0.04298
 0.54738     0.04401
 0.53988     0.04503
 0.53239     0.04605
 0.52491     0.04705
 0.51744     0.04804
 0.50998     0.04901
 0.50253     0.04997
 0.49509     0.05090
 0.48765     0.05181
 0.48022     0.05270
 0.47280     0.05357
 0.46538     0.05441
 0.45797     0.05523
 0.45055     0.05602
 0.44315     0.05678
 0.43574     0.05751
 0.42834     0.05821
 0.42094     0.05888
 0.41354     0.05951
 0.40615     0.06012
 0.39876     0.06068
 0.39138     0.06121
 0.38399     0.06171
 0.37661     0.06217
 0.36924     0.06259
 0.36187     0.06297
 0.35450     0.06330
 0.34713     0.06360
 0.33977     0.06386
 0.33241     0.06407
 0.32505     0.06424
 0.31770     0.06437
 0.31035     0.06445
 0.30301     0.06448
 0.29567     0.06447
 0.28834     0.06441
 0.28101     0.06431
 0.27368     0.06415
 0.26636     0.06395
 0.25904     0.06369
 0.25172     0.06339
 0.24440     0.06304
 0.23708     0.06264
 0.22975     0.06220
 0.22243     0.06170
 0.21511     0.06116
 0.20780     0.06057
 0.20049     0.05994
 0.19319     0.05925
 0.18591     0.05852
 0.17864     0.05774
 0.17138     0.05691
 0.16415     0.05602
 0.15693     0.05508
 0.14973     0.05409
 0.14255     0.05304
 0.13539     0.05193
 0.12825     0.05075
 0.12114     0.04952
 0.11407     0.04822
 0.10706     0.04685
 0.10011     0.04542
 0.09320     0.04391
 0.08634     0.04232
 0.07950     0.04064
 0.07270     0.03886
 0.06600     0.03699
 0.05949     0.03505
 0.05325     0.03306
 0.04724     0.03100
 0.04134     0.02882
 0.03542     0.02645
 0.02962     0.02392
 0.02452     0.02147
 0.02041     0.01933
 0.01707     0.01743
 0.01421     0.01564
 0.01163     0.01387
 0.00921     0.01204
 0.00703     0.01019
 0.00526     0.00854
 0.00389     0.00716
 0.00281     0.00601
 0.00197     0.00501
 0.00132     0.00412
 0.00082     0.00329
 0.00045     0.00250
 0.00020     0.00173
 0.00006     0.00097
 0.00004     0.00021
 0.00014    -0.00058
 0.00036    -0.00139
 0.00069    -0.00224
 0.00115    -0.00312
 0.00175    -0.00404
 0.00253    -0.00500
 0.00349    -0.00597
 0.00472    -0.00696
 0.00626    -0.00796
 0.00820    -0.00898
 0.01057    -0.01007
 0.01339    -0.01130
 0.01672    -0.01269
 0.02058    -0.01419
 0.02493    -0.01571
 0.02979    -0.01719
 0.03523    -0.01863
 0.04125    -0.02004
 0.04774    -0.02143
 0.05449    -0.02275
 0.06134    -0.02397
 0.06820    -0.02508
 0.07511    -0.02611
 0.08211    -0.02706
 0.08920    -0.02795
 0.09639    -0.02878
 0.10364    -0.02956
 0.11093    -0.03028
 0.11825    -0.03096
 0.12558    -0.03158
 0.13292    -0.03217
 0.14027    -0.03272
 0.14765    -0.03323
 0.15504    -0.03371
 0.16245    -0.03415
 0.16988    -0.03456
 0.17732    -0.03495
 0.18477    -0.03530
 0.19223    -0.03564
 0.19970    -0.03594
 0.20718    -0.03623
 0.21467    -0.03649
 0.22216    -0.03673
 0.22966    -0.03696
 0.23717    -0.03716
 0.24468    -0.03735
 0.25219    -0.03751
 0.25971    -0.03767
 0.26723    -0.03780
 0.27475    -0.03792
 0.28227    -0.03803
 0.28980    -0.03812
 0.29733    -0.03820
 0.30487    -0.03826
 0.31240    -0.03831
 0.31995    -0.03835
 0.32749    -0.03837
 0.33504    -0.03839
 0.34259    -0.03839
 0.35015    -0.03838
 0.35770    -0.03837
 0.36525    -0.03834
 0.37281    -0.03830
 0.38036    -0.03825
 0.38792    -0.03819
 0.39547    -0.03813
 0.40303    -0.03805
 0.41059    -0.03796
 0.41814    -0.03787
 0.42571    -0.03776
 0.43327    -0.03765
 0.44083    -0.03753
 0.44840    -0.03740
 0.45596    -0.03726
 0.46353    -0.03712
 0.47110    -0.03696
 0.47866    -0.03680
 0.48623    -0.03663
 0.49379    -0.03646
 0.50136    -0.03627
 0.50892    -0.03608
 0.51649    -0.03588
 0.52405    -0.03567
 0.53162    -0.03546
 0.53919    -0.03524
 0.54676    -0.03501
 0.55432    -0.03478
 0.56189    -0.03453
 0.56946    -0.03428
 0.57702    -0.03403
 0.58459    -0.03376
 0.59215    -0.03349
 0.59972    -0.03321
 0.60728    -0.03293
 0.61484    -0.03263
 0.62241    -0.03233
 0.62997    -0.03202
 0.63753    -0.03171
 0.64509    -0.03138
 0.65265    -0.03105
 0.66021    -0.03072
 0.66777    -0.03037
 0.67533    -0.03002
 0.68289    -0.02966
 0.69045    -0.02929
 0.69801    -0.02891
 0.70556    -0.02853
 0.71312    -0.02813
 0.72067    -0.02773
 0.72822    -0.02732
 0.73577    -0.02690
 0.74331    -0.02648
 0.75086    -0.02604
 0.75841    -0.02560
 0.76595    -0.02514
 0.77349    -0.02468
 0.78104    -0.02420
 0.78858    -0.02372
 0.79611    -0.02322
 0.80364    -0.02272
 0.81117    -0.02220
 0.81869    -0.02168
 0.82620    -0.02114
 0.83371    -0.02058
 0.84122    -0.02002
 0.84873    -0.01943
 0.85623    -0.01884
 0.86372    -0.01822
 0.87121    -0.01759
 0.87869    -0.01695
 0.88615    -0.01628
 0.89359    -0.01560
 0.90102    -0.01489
 0.90844    -0.01416
 0.91584    -0.01340
 0.92322    -0.01261
 0.93054    -0.01178
 0.93780    -0.01092
 0.94496    -0.01001
 0.95200    -0.00904
 0.95890    -0.00799
 0.96567    -0.00686
 0.97237    -0.00562
 0.97906    -0.00428
 0.98567    -0.00289
 0.99177    -0.00159
 0.99702    -0.00054
 1.00000     0.00000
